layer_name;HighFi;MediumFi;LowFi
Deliver plate;0,0;;
Deliver plate;0,0;;
Deliver plate;0,0;;
Deliver plate;0,0;;
Deliver plate;0,0;;
Deliver plate;;;0,0
Deliver plate;0,0;;
Deliver plate;0,0;;
Deliver plate;0,0;;
Floor;3,2947993965208298;;
Floor;;44,923863920528674;
Floor;10,92012036176311;;
Floor;;;15,628689892677357
Floor;;0,0;
Floor;;;4,557517602079315
Floor;;0,0;
Floor;;299,5855413295358;
Floor;;0,0;
Floor;549,314136296256;;
Floor;;;0,0
Floor;;;178,48725119508163
Floor;0,0;;
Floor;4,520290549222409;;
Floor;;;0,0
Floor;;0,0;
Floor;;;47,80280833011784
Floor;0,0;;
Floor;;;90,31592870187887
Floor;;0,0;
Floor;;0,0;
Floor;0,0;;
Floor;;8,211970611606375;
Floor;;0,0;
Floor;0,0;;
Floor;;0,0;
Floor;;;2,848730997136954
Floor;3143,510112704651;;
Floor;;;12,15357986795425
Floor;;;0,0
Floor;;;2,6128157895582262
Floor;;;4,960204405011609
Floor;;2,542719501893771;
Floor;;7,159842118764573;
Floor;86,84976679262218;;
Floor;;0,0;
Floor;202,11249689922488;;
Floor;2,8239145955376443;;
Floor;;;242,03538140797173
Floor;;;478,0613346069731
Floor;0,0;;
Floor;;;10,075197269849014
Floor;;0,0;
Floor;0,0;;
Floor;2,055689599385005;;
Garnish Dispenser;;20,22255983791547;
Garnish Dispenser;;;3,23864869582394
Garnish Dispenser;;16,419065055291867;
Garnish Dispenser;5,994986889193569;;
Garnish Dispenser;;;4,863604903228406
Garnish Dispenser;;;4,849188802865683
Garnish Dispenser;4,297073494984943;;
Garnish Dispenser;;;0,0
Garnish Dispenser;;0,0;
Garnish Dispenser;;;2,1951614004501607
Garnish Dispenser;;0,0;
Garnish Dispenser;;8,480786185316902;
Garnish Dispenser;;8,977714674041636;
Garnish Dispenser;;538,7583700809337;
Garnish Dispenser;;;7,591849538795941
Garnish Dispenser;0,0;;
Garnish Dispenser;;149,26270983314316;
Garnish Dispenser;;;423,687334184011
Garnish Dispenser;;18,273014509984932;
Garnish Dispenser;;;2,375800100489869
Garnish Dispenser;;;6,255655588814989
Garnish Dispenser;0,0;;
Garnish Dispenser;;13,184347466871259;
Garnish Dispenser;0,0;;
Garnish Dispenser;5,257463763989108;;
Garnish Dispenser;;3,1698300040807226;
Garnish Dispenser;;25,429018451795855;
Garnish Dispenser;10,266053855928476;;
Garnish Dispenser;;9,137590409591212;
Garnish Dispenser;;0,0;
Garnish Dispenser;;;11,174419285773183
Garnish Dispenser;;24,108754046508693;
Garnish Dispenser;7,337298661685054;;
Garnish Dispenser;;;0,0
Garnish Dispenser;;;2,3341363982617622
Garnish Dispenser;;;0,0
Garnish Dispenser;4,8920159030967625;;
Garnish Dispenser;4,311354295801721;;
Garnish Dispenser;;;13,457450003144913
Garnish Dispenser;0,0;;
Garnish Dispenser;0,0;;
Garnish Dispenser;19,0224185654115;;
Garnish Dispenser;9,001913546730066;;
Garnish Dispenser;;;2,194453798030736
Garnish Dispenser;9,242945791294915;;
Glass Dispenser;35,91401561962266;;
Glass Dispenser;6,271355274890993;;
Glass Dispenser;;;2,54203779452655
Glass Dispenser;7,266608297722996;;
Glass Dispenser;4,906727489898913;;
Glass Dispenser;;2,5987015980208525;
Glass Dispenser;;;0,0
Glass Dispenser;5,740825484884226;;
Glass Dispenser;;4,018263600271894;
Glass Dispenser;;;2,2924392015556805
Glass Dispenser;17,497790874876955;;
Glass Dispenser;;6,437467702882714;
Glass Dispenser;;4,249897100453381;
Glass Dispenser;;;0,0
Glass Dispenser;;4,808030805455928;
Glass Dispenser;;2,014162000050419;
Glass Dispenser;;0,0;
Glass Dispenser;2,5151576017888146;;
Glass Dispenser;0,0;;
Glass Dispenser;9,830105622833798;;
Glass Dispenser;25,30252732548979;;
Glass Dispenser;;2,0975731995495153;
Glass Dispenser;22,49845058962819;;
Glass Dispenser;;;2,890602298232352
Glass Dispenser;;17,29527703950589;
Glass Dispenser;;;3,100404294542386
Glass Dispenser;;5,768370892707026;
Glass Dispenser;;;0,0
Glass Dispenser;;;2,097904098336585
Glass Dispenser;;;4,236612800799776
Glass Dispenser;;;2,639776000272832
Glass Dispenser;;;6,10200470079144
Glass Dispenser;2,000011299999642;;
Glass Dispenser;;127,12201319919131;
Glass Dispenser;;4,792889897398709;
Glass Dispenser;7,42423227641757;;
Glass Dispenser;;10,111121846724927;
Glass Dispenser;6,186498484303684;;
Glass Dispenser;2,725455894110837;;
Glass Dispenser;;;0,0
Glass Dispenser;;;2,083714600186795
Glass Dispenser;;;0,0
Glass Dispenser;;;2,0834063991933363
Glass Dispenser;;0,0;
Glass Dispenser;;16,389928937949662;
HiddenMesh;0,0;;
HiddenMesh;;0,0;
HiddenMesh;;;0,0
HiddenMesh;;0,0;
HiddenMesh;0,0;;
HiddenMesh;;0,0;
HiddenMesh;;;0,0
HiddenMesh;0,0;;
HiddenMesh;;;0,0
HiddenMesh;;0,0;
HiddenMesh;0,0;;
HiddenMesh;;;0,0
HiddenMesh;0,0;;
HiddenMesh;;;0,0
HiddenMesh;0,0;;
HiddenMesh;;;0,0
HiddenMesh;;0,0;
