layer_name;total_fixation_duration_s;task_type
Customer;0,0;LowFi
Customer;0,0;LowFi
Customer;0,0;LowFi
Customer;0,0;LowFi
Customer;0,0;LowFi
Customer;0,0;MediumFi
Customer;0,0;MediumFi
Customer;0,0;MediumFi
Customer;0,0;MediumFi
Customer;0,0;MediumFi
Customer;0,0;MediumFi
Customer;0,0;MediumFi
Customer;0,0;MediumFi
Customer;0,0;MediumFi
Customer;0,0;MediumFi
Customer;0,0;MediumFi
Customer;0,0;MediumFi
Customer;0,0;MediumFi
Customer;0,0;MediumFi
Customer;0,0;MediumFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;HighFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;LowFi
Deliver plate;0,0;MediumFi
Deliver plate;0,0;MediumFi
Deliver plate;0,0;MediumFi
Deliver plate;0,0;MediumFi
Deliver plate;0,0;MediumFi
Deliver plate;0,0;MediumFi
Deliver plate;0,0;MediumFi
Deliver plate;0,0;MediumFi
Deliver plate;0,0;MediumFi
Deliver plate;0,0;MediumFi
Deliver plate;0,0;MediumFi
Deliver plate;0,0;MediumFi
Deliver plate;0,0;MediumFi
Deliver plate;0,0;MediumFi
Deliver plate;0,0;MediumFi
Floor;2,8239145955376443;HighFi
Floor;0,0;HighFi
Floor;2,055689599385005;HighFi
Floor;86,84976679262218;HighFi
Floor;0,0;HighFi
Floor;10,92012036176311;HighFi
Floor;549,314136296256;HighFi
Floor;0,0;HighFi
Floor;0,0;HighFi
Floor;0,0;HighFi
Floor;0,0;HighFi
Floor;202,11249689922488;HighFi
Floor;3143,510112704651;HighFi
Floor;3,2947993965208298;HighFi
Floor;4,520290549222409;HighFi
Floor;0,0;LowFi
Floor;478,0613346069731;LowFi
Floor;10,075197269849014;LowFi
Floor;90,31592870187887;LowFi
Floor;4,557517602079315;LowFi
Floor;2,6128157895582262;LowFi
Floor;0,0;LowFi
Floor;12,15357986795425;LowFi
Floor;4,960204405011609;LowFi
Floor;15,628689892677357;LowFi
Floor;47,80280833011784;LowFi
Floor;178,48725119508163;LowFi
Floor;242,03538140797173;LowFi
Floor;0,0;LowFi
Floor;2,848730997136954;LowFi
Floor;0,0;MediumFi
Floor;0,0;MediumFi
Floor;0,0;MediumFi
Floor;0,0;MediumFi
Floor;0,0;MediumFi
Floor;8,211970611606375;MediumFi
Floor;299,5855413295358;MediumFi
Floor;44,923863920528674;MediumFi
Floor;0,0;MediumFi
Floor;0,0;MediumFi
